Data;Ora solare;Livello Punta Salute (cm)
24-gen-98;16.00;-8
24-gen-98;17.00;-1
24-gen-98;18.00;12
24-gen-98;19.00;25
24-gen-98;20.00;37
24-gen-98;21.00;45
24-gen-98;22.00;47
24-gen-98;23.00;45
25-gen-98;0.00;39
25-gen-98;1.00;30
25-gen-98;2.00;23
25-gen-98;3.00;23
25-gen-98;4.00;30
25-gen-98;5.00;43
25-gen-98;6.00;57
25-gen-98;7.00;68
25-gen-98;8.00;74
25-gen-98;9.00;75
25-gen-98;10.00;68
25-gen-98;11.00;54
25-gen-98;12.00;33
25-gen-98;13.00;14
25-gen-98;14.00;-4
25-gen-98;15.00;-18
25-gen-98;16.00;-25
25-gen-98;17.00;-21
25-gen-98;18.00;-5
25-gen-98;19.00;14
25-gen-98;20.00;32
25-gen-98;21.00;46
25-gen-98;22.00;52
25-gen-98;23.00;52
26-gen-98;0.00;43
26-gen-98;1.00;31
26-gen-98;2.00;20
26-gen-98;3.00;14
26-gen-98;4.00;15
26-gen-98;5.00;25
26-gen-98;6.00;39
26-gen-98;7.00;54
26-gen-98;8.00;67
26-gen-98;9.00;72
26-gen-98;10.00;70
26-gen-98;11.00;57
26-gen-98;12.00;38
26-gen-98;13.00;15
26-gen-98;14.00;-8
26-gen-98;15.00;-26
26-gen-98;16.00;-37
26-gen-98;17.00;-36
26-gen-98;18.00;-21
26-gen-98;19.00;0
26-gen-98;20.00;22
26-gen-98;21.00;38
26-gen-98;22.00;51
26-gen-98;23.00;55
27-gen-98;0.00;48
27-gen-98;1.00;33
27-gen-98;2.00;20
27-gen-98;3.00;9
27-gen-98;4.00;7
27-gen-98;5.00;12
27-gen-98;6.00;29
27-gen-98;7.00;46
27-gen-98;8.00;61
27-gen-98;9.00;70
27-gen-98;10.00;72
27-gen-98;11.00;62
27-gen-98;12.00;43
27-gen-98;13.00;20
27-gen-98;14.00;-5
27-gen-98;15.00;-27
27-gen-98;16.00;-41
27-gen-98;17.00;-47
27-gen-98;18.00;-37
27-gen-98;19.00;-18
27-gen-98;20.00;6
27-gen-98;21.00;25
27-gen-98;22.00;40
27-gen-98;23.00;51
28-gen-98;0.00;55
28-gen-98;1.00;48
28-gen-98;2.00;32
28-gen-98;3.00;17
28-gen-98;4.00;7
28-gen-98;5.00;3
28-gen-98;6.00;9
28-gen-98;7.00;25
28-gen-98;8.00;43
28-gen-98;9.00;57
28-gen-98;10.00;65
28-gen-98;11.00;63
28-gen-98;12.00;48
28-gen-98;13.00;25
28-gen-98;14.00;1
28-gen-98;15.00;-21
28-gen-98;16.00;-40
28-gen-98;17.00;-48
28-gen-98;18.00;-45
28-gen-98;19.00;-28
28-gen-98;20.00;-2
28-gen-98;21.00;22
28-gen-98;22.00;40
28-gen-98;23.00;55
29-gen-98;0.00;60
29-gen-98;1.00;56
29-gen-98;2.00;43
29-gen-98;3.00;27
29-gen-98;4.00;11
29-gen-98;5.00;3
29-gen-98;6.00;1
29-gen-98;7.00;11
29-gen-98;8.00;27
29-gen-98;9.00;43
29-gen-98;10.00;56
29-gen-98;11.00;61
29-gen-98;12.00;55
29-gen-98;13.00;38
29-gen-98;14.00;14
29-gen-98;15.00;-9
29-gen-98;16.00;-31
29-gen-98;17.00;-44
29-gen-98;18.00;-48
29-gen-98;19.00;-37
29-gen-98;20.00;-16
29-gen-98;21.00;8
29-gen-98;22.00;28
29-gen-98;23.00;44
30-gen-98;0.00;53
30-gen-98;1.00;55
30-gen-98;2.00;44
30-gen-98;3.00;27
30-gen-98;4.00;11
30-gen-98;5.00;-1
30-gen-98;6.00;-12
30-gen-98;7.00;-10
30-gen-98;8.00;4
30-gen-98;9.00;20
30-gen-98;10.00;38
30-gen-98;11.00;52
30-gen-98;12.00;57
30-gen-98;13.00;49
30-gen-98;14.00;32
30-gen-98;15.00;11
30-gen-98;16.00;-10
30-gen-98;17.00;-28
30-gen-98;18.00;-38
30-gen-98;19.00;-36
30-gen-98;20.00;-20
30-gen-98;21.00;3
30-gen-98;22.00;23
30-gen-98;23.00;41
31-gen-98;0.00;55
31-gen-98;1.00;60
31-gen-98;2.00;57
31-gen-98;3.00;43
31-gen-98;4.00;24
31-gen-98;5.00;8
31-gen-98;6.00;-4
31-gen-98;7.00;-8
31-gen-98;8.00;-2
31-gen-98;9.00;12
31-gen-98;10.00;31
31-gen-98;11.00;47
31-gen-98;12.00;56
31-gen-98;13.00;58
31-gen-98;14.00;48
31-gen-98;15.00;30
31-gen-98;16.00;8
31-gen-98;17.00;-9
31-gen-98;18.00;-24
31-gen-98;19.00;-31
31-gen-98;20.00;-25
31-gen-98;21.00;-8
31-gen-98;22.00;12
31-gen-98;23.00;31
1-feb-98;0.00;47
1-feb-98;1.00;57
1-feb-98;2.00;60
1-feb-98;3.00;57
1-feb-98;4.00;47
