Data;Ora solare;Livello Punta Salute (cm);;;
21-gen-99;0.00;22;;;
22-gen-99;1.00;31;;;
22-gen-99;2.00;36;;;
22-gen-99;3.00;32;;;
22-gen-99;4.00;22;;;
22-gen-99;5.00;8;;;
22-gen-99;6.00;-5;;;
22-gen-99;7.00;-12;;;
22-gen-99;8.00;-15;;;
22-gen-99;9.00;-9;;;
22-gen-99;10.00;4;;;
22-gen-99;11.00;15;;;
22-gen-99;12.00;23;;;
22-gen-99;13.00;27;;;
22-gen-99;14.00;22;;;
22-gen-99;15.00;8;;;
22-gen-99;16.00;-10;;;
22-gen-99;17.00;-28;;;
22-gen-99;18.00;-40;;;
22-gen-99;19.00;-48;;;
22-gen-99;20.00;-46;;;
22-gen-99;21.00;-34;;;
22-gen-99;22.00;-18;;;
22-gen-99;23.00;-1;;;
22-gen-99;0.00;14;;;
23-gen-99;1.00;25;;;
23-gen-99;2.00;32;;;
23-gen-99;3.00;35;;;
23-gen-99;4.00;31;;;
23-gen-99;5.00;20;;;
23-gen-99;6.00;8;;;
23-gen-99;7.00;-1;;;
23-gen-99;8.00;-10;;;
23-gen-99;9.00;-15;;;
23-gen-99;10.00;-12;;;
23-gen-99;11.00;-4;;;
23-gen-99;12.00;6;;;
23-gen-99;13.00;11;;;
23-gen-99;14.00;12;;;
23-gen-99;15.00;9;;;
23-gen-99;16.00;-4;;;
23-gen-99;17.00;-16;;;
23-gen-99;18.00;-28;;;
23-gen-99;19.00;-34;;;
23-gen-99;20.00;-37;;;
23-gen-99;21.00;-30;;;
23-gen-99;22.00;-18;;;
23-gen-99;23.00;-5;;;
23-gen-99;0.00;9;;;
24-gen-99;1.00;21;;;
24-gen-99;2.00;31;;;
24-gen-99;3.00;38;;;
24-gen-99;4.00;39;;;
24-gen-99;5.00;31;;;
24-gen-99;6.00;20;;;
24-gen-99;7.00;8;;;
24-gen-99;8.00;-4;;;
24-gen-99;9.00;-12;;;
24-gen-99;10.00;-16;;;
24-gen-99;11.00;-16;;;
24-gen-99;12.00;-10;;;
24-gen-99;13.00;-4;;;
24-gen-99;14.00;1;;;
24-gen-99;15.00;4;;;
24-gen-99;16.00;0;;;
24-gen-99;17.00;-5;;;
24-gen-99;18.00;-13;;;
24-gen-99;19.00;-20;;;
24-gen-99;20.00;-23;;;
24-gen-99;21.00;-21;;;
24-gen-99;22.00;-17;;;
24-gen-99;23.00;-9;;;
24-gen-99;0.00;1;;;
25-gen-99;1.00;14;;;
25-gen-99;2.00;23;;;
25-gen-99;3.00;28;;;
25-gen-99;4.00;32;;;
25-gen-99;5.00;32;;;
25-gen-99;6.00;27;;;
25-gen-99;7.00;16;;;
25-gen-99;8.00;6;;;
25-gen-99;9.00;-5;;;
25-gen-99;10.00;-17;;;
25-gen-99;11.00;-24;;;
25-gen-99;12.00;-25;;;
25-gen-99;13.00;-24;;;
25-gen-99;14.00;-18;;;
25-gen-99;15.00;-9;;;
25-gen-99;16.00;-5;;;
25-gen-99;17.00;-1;;;
25-gen-99;18.00;-1;;;
25-gen-99;19.00;-1;;;
25-gen-99;20.00;-5;;;
25-gen-99;21.00;-8;;;
25-gen-99;22.00;-8;;;
25-gen-99;23.00;-5;;;
25-gen-99;0.00;-1;;;
26-gen-99;1.00;7;;;
26-gen-99;2.00;16;;;
26-gen-99;3.00;23;;;
26-gen-99;4.00;31;;;
26-gen-99;5.00;36;;;
26-gen-99;6.00;39;;;
26-gen-99;7.00;35;;;
26-gen-99;8.00;24;;;
26-gen-99;9.00;11;;;
26-gen-99;10.00;-2;;;
26-gen-99;11.00;-16;;;
26-gen-99;12.00;-25;;;
26-gen-99;13.00;-28;;;
26-gen-99;14.00;-28;;;
26-gen-99;15.00;-21;;;
26-gen-99;16.00;-10;;;
26-gen-99;17.00;-1;;;
26-gen-99;18.00;8;;;
26-gen-99;19.00;14;;;
26-gen-99;20.00;16;;;
26-gen-99;21.00;16;;;
26-gen-99;22.00;11;;;
26-gen-99;23.00;4;;;
26-gen-99;0.00;3;;;
27-gen-99;1.00;8;;;
27-gen-99;2.00;16;;;
27-gen-99;3.00;27;;;
27-gen-99;4.00;36;;;
27-gen-99;5.00;43;;;
27-gen-99;6.00;48;;;
27-gen-99;7.00;51;;;
27-gen-99;8.00;46;;;
27-gen-99;9.00;36;;;
27-gen-99;10.00;24;;;
27-gen-99;11.00;9;;;
27-gen-99;12.00;-5;;;
27-gen-99;13.00;-19;;;
