Data;Ora solare;Livello Punta Salute (cm);
3-feb-88;12.00;59;
3-feb-88;13.00;43;
3-feb-88;14.00;20;
3-feb-88;15.00;-2;
3-feb-88;16.00;-21;
3-feb-88;17.00;-33;
3-feb-88;18.00;-35;
3-feb-88;19.00;-23;
3-feb-88;20.00;-1;
3-feb-88;21.00;22;
3-feb-88;22.00;40;
3-feb-88;23.00;54;
4-feb-88;0.00;57;
4-feb-88;1.00;53;
4-feb-88;2.00;41;
4-feb-88;3.00;27;
4-feb-88;4.00;15;
4-feb-88;5.00;8;
4-feb-88;6.00;8;
4-feb-88;7.00;20;
4-feb-88;8.00;36;
4-feb-88;9.00;52;
4-feb-88;10.00;62;
4-feb-88;11.00;63;
4-feb-88;12.00;56;
4-feb-88;13.00;41;
4-feb-88;14.00;24;
4-feb-88;15.00;4;
4-feb-88;16.00;-14;
4-feb-88;17.00;-28;
4-feb-88;18.00;-31;
4-feb-88;19.00;-21;
4-feb-88;20.00;-2;
4-feb-88;21.00;23;
4-feb-88;22.00;41;
4-feb-88;23.00;55;
5-feb-88;0.00;63;
5-feb-88;1.00;60;
5-feb-88;2.00;48;
5-feb-88;3.00;36;
5-feb-88;4.00;24;
5-feb-88;5.00;15;
5-feb-88;6.00;11;
5-feb-88;7.00;19;
5-feb-88;8.00;31;
5-feb-88;9.00;44;
5-feb-88;10.00;55;
5-feb-88;11.00;63;
5-feb-88;12.00;62;
5-feb-88;13.00;49;
5-feb-88;14.00;33;
5-feb-88;15.00;14;
5-feb-88;16.00;-7;
5-feb-88;17.00;-21;
5-feb-88;18.00;-28;
5-feb-88;19.00;-23;
5-feb-88;20.00;-8;
5-feb-88;21.00;11;
5-feb-88;22.00;31;
5-feb-88;23.00;46;
6-feb-88;0.00;55;
6-feb-88;1.00;59;
6-feb-88;2.00;54;
6-feb-88;3.00;41;
6-feb-88;4.00;27;
6-feb-88;5.00;16;
6-feb-88;6.00;8;
6-feb-88;7.00;8;
6-feb-88;8.00;17;
6-feb-88;9.00;31;
6-feb-88;10.00;44;
6-feb-88;11.00;54;
6-feb-88;12.00;55;
6-feb-88;13.00;52;
6-feb-88;14.00;40;
6-feb-88;15.00;24;
6-feb-88;16.00;7;
6-feb-88;17.00;-7;
6-feb-88;18.00;-16;
6-feb-88;19.00;-15;
6-feb-88;20.00;-1;
6-feb-88;21.00;19;
6-feb-88;22.00;41;
6-feb-88;23.00;59;
7-feb-88;0.00;75;
7-feb-88;1.00;80;
7-feb-88;2.00;75;
7-feb-88;3.00;63;
7-feb-88;4.00;48;
7-feb-88;5.00;33;
7-feb-88;6.00;20;
7-feb-88;7.00;16;
7-feb-88;8.00;20;
7-feb-88;9.00;31;
7-feb-88;10.00;44;
7-feb-88;11.00;55;
7-feb-88;12.00;59;
7-feb-88;13.00;56;
7-feb-88;14.00;48;
7-feb-88;15.00;36;
7-feb-88;16.00;20;
7-feb-88;17.00;5;
7-feb-88;18.00;-3;
7-feb-88;19.00;-4;
7-feb-88;20.00;7;
7-feb-88;21.00;22;
7-feb-88;22.00;39;
7-feb-88;23.00;55;
8-feb-88;0.00;64;
8-feb-88;1.00;68;
8-feb-88;2.00;65;
8-feb-88;3.00;55;
8-feb-88;4.00;39;
8-feb-88;5.00;23;
8-feb-88;6.00;9;
8-feb-88;7.00;-1;
8-feb-88;8.00;-4;
8-feb-88;9.00;4;
8-feb-88;10.00;17;
8-feb-88;11.00;31;
8-feb-88;12.00;39;
8-feb-88;13.00;41;
8-feb-88;14.00;39;
8-feb-88;15.00;35;
8-feb-88;16.00;25;
8-feb-88;17.00;16;
8-feb-88;18.00;6;
8-feb-88;19.00;4;
8-feb-88;20.00;14;
8-feb-88;21.00;27;
8-feb-88;22.00;39;
8-feb-88;23.00;55;
9-feb-88;0.00;68;
9-feb-88;1.00;72;
9-feb-88;2.00;70;
9-feb-88;3.00;62;
9-feb-88;4.00;48;
9-feb-88;5.00;31;
9-feb-88;6.00;16;
9-feb-88;7.00;4;
9-feb-88;8.00;-4;
9-feb-88;9.00;-1;
9-feb-88;10.00;8;
9-feb-88;11.00;20;
9-feb-88;12.00;27;
9-feb-88;13.00;30;
9-feb-88;14.00;27;
9-feb-88;15.00;19;
9-feb-88;16.00;6;
9-feb-88;17.00;-1;
9-feb-88;18.00;-8;
9-feb-88;19.00;-12;
9-feb-88;20.00;-5;
9-feb-88;21.00;9;
9-feb-88;22.00;25;
9-feb-88;23.00;39;
10-feb-88;0.00;52;
10-feb-88;1.00;59;
10-feb-88;2.00;59;
10-feb-88;3.00;59;
10-feb-88;4.00;55;
10-feb-88;5.00;46;
10-feb-88;6.00;36;
10-feb-88;7.00;29;
10-feb-88;8.00;20;
10-feb-88;9.00;15;
10-feb-88;10.00;11;
10-feb-88;11.00;12;
10-feb-88;12.00;16;
10-feb-88;13.00;19;
10-feb-88;14.00;20;
10-feb-88;15.00;19;
10-feb-88;16.00;14;
10-feb-88;17.00;8;
10-feb-88;18.00;6;
10-feb-88;19.00;7;
